mot,url,source
raki-pahalalana malalaka,https://mg.wikipedia.org/wiki/Wikipedia:Mombamomba,wikipedia_mg
101 544,https://mg.wikipedia.org/wiki/Manokana:Statistika,wikipedia_mg
malagasy,https://mg.wikipedia.org/wiki/Fiteny_malagasy,wikipedia_mg
Pejy rehetra,https://mg.wikipedia.org/wiki/Manokana:Pejy_rehetra,wikipedia_mg
Sokajy,https://mg.wikipedia.org/wiki/Endrika:Sokajy/main,wikipedia_mg
Fikambanana,https://mg.wikipedia.org/wiki/Wikipedia:Fikambanana,wikipedia_mg
Fanoroana,https://mg.wikipedia.org/wiki/Fanoroana:Fandraisana,wikipedia_mg
Lahatsoratra notsongaina ho an’ity volana ity,https://mg.wikipedia.org/wiki/Wikipedia:Takelaka,wikipedia_mg
Azia Andrefana,https://mg.wikipedia.org/wiki/Azia_andrefana,wikipedia_mg
Teheran,https://mg.wikipedia.org/wiki/Teheran,wikipedia_mg
fiteny persana,https://mg.wikipedia.org/wiki/Fiteny_persana,wikipedia_mg
Arianina,https://mg.wikipedia.org/wiki/Ariàna_(vahoaka),wikipedia_mg
Persiana,https://mg.wikipedia.org/wiki/Persia,wikipedia_mg
Andro Taloha,https://mg.wikipedia.org/wiki/Andro_Taloha,wikipedia_mg
Sasanida,https://mg.wikipedia.org/wiki/Empira_Sasanida,wikipedia_mg
Persia,https://mg.wikipedia.org/wiki/Persia,wikipedia_mg
Reza Shah,https://mg.wikipedia.org/wiki/Reza_Shah,wikipedia_mg
Armenia,https://mg.wikipedia.org/wiki/Armenia,wikipedia_mg
Azerbaijàna,https://mg.wikipedia.org/wiki/Azerbaijàna,wikipedia_mg
Torkmenistàna,https://mg.wikipedia.org/wiki/Torkmenistàna,wikipedia_mg
Hoala Persika,https://mg.wikipedia.org/wiki/Hoala_Persika,wikipedia_mg
Iràka,https://mg.wikipedia.org/wiki/Iraka,wikipedia_mg
Torkia,https://mg.wikipedia.org/wiki/Torkia,wikipedia_mg
Pakistàna,https://mg.wikipedia.org/wiki/Pakistàna,wikipedia_mg
Afganistàna,https://mg.wikipedia.org/wiki/Afganistàna,wikipedia_mg
kalandrie persana,https://mg.wikipedia.org/wiki/Tetiandro_persana,wikipedia_mg
fiteny ôfisialy,https://mg.wikipedia.org/wiki/Fiteny_ôfisialy,wikipedia_mg
lembalemba,https://mg.wikipedia.org/wiki/Lembalemba,wikipedia_mg
tany efitra,https://mg.wikipedia.org/wiki/Tany_efitra,wikipedia_mg
Dasht-e Kavir,https://mg.wikipedia.org/wiki/Dasht-e_Kavir,wikipedia_mg
Dasht-e Lut,https://mg.wikipedia.org/wiki/Dasht-e_Lut,wikipedia_mg
tangoron-tendrombohitra,https://mg.wikipedia.org/wiki/Tangoron-tendrombohitra,wikipedia_mg
Ranomasina Kaspiana,https://mg.wikipedia.org/wiki/Ranomasina_Kaspiana,wikipedia_mg
Alborz,https://mg.wikipedia.org/wiki/Alborz,wikipedia_mg
Zagros,https://mg.wikipedia.org/wiki/Zagros,wikipedia_mg
mari-pana,https://mg.wikipedia.org/wiki/Mari-pana,wikipedia_mg
Azery,https://mg.wikipedia.org/wiki/Azery_(vahoaka),wikipedia_mg
Balotsy,https://mg.wikipedia.org/wiki/Balotsy_(vahoaka),wikipedia_mg
Torkmena,https://mg.wikipedia.org/wiki/Torkmena_(vahoaka),wikipedia_mg
Kiorda,https://mg.wikipedia.org/wiki/Kiorda_(vahoaka),wikipedia_mg
Arabo,https://mg.wikipedia.org/wiki/Arabo_(vahoaka),wikipedia_mg
silamo,https://mg.wikipedia.org/wiki/Silamo,wikipedia_mg
solitany,https://mg.wikipedia.org/wiki/Solitany,wikipedia_mg
toekaren' i Iràna,https://mg.wikipedia.org/wiki/Toekaren'_i_Iràna,wikipedia_mg
antrendry,https://mg.wikipedia.org/wiki/Antrendry_(voany),wikipedia_mg
kaviara,https://mg.wikipedia.org/wiki/Kaviara,wikipedia_mg
tohiny...,https://mg.wikipedia.org/wiki/Iràna,wikipedia_mg
Lahatsoratra tsara vakiana,https://mg.wikipedia.org/wiki/Wikipedia:Lahatsoratra/*,wikipedia_mg
vondrom-poko,https://mg.wikipedia.org/wiki/Vondrom-poko,wikipedia_mg
Madagasikara,https://mg.wikipedia.org/wiki/Madagasikara,wikipedia_mg
Menarandra,https://mg.wikipedia.org/wiki/Menarandra,wikipedia_mg
Onilahy,https://mg.wikipedia.org/wiki/Onilahy,wikipedia_mg
sokay,https://mg.wikipedia.org/wiki/Vatosokay,wikipedia_mg
fasika,https://mg.wikipedia.org/wiki/Fasika,wikipedia_mg
sary sokitra,https://mg.wikipedia.org/wiki/Sokitra,wikipedia_mg
aloalo,https://mg.wikipedia.org/wiki/Aloalo,wikipedia_mg
razana,https://mg.wikipedia.org/wiki/Razana_(finoana_malagasy),wikipedia_mg
Betioky,https://mg.wikipedia.org/wiki/Betioky,wikipedia_mg
Ejeda,https://mg.wikipedia.org/wiki/Ejeda,wikipedia_mg
Ampanihy,https://mg.wikipedia.org/wiki/Ampanihy,wikipedia_mg
fady,https://mg.wikipedia.org/wiki/Fady,wikipedia_mg
